,Song,lenght,chroma_stft,spectral_centroid,spectral_bandwidth,spectral_rolloff,rms,zero_crossing_rate,tempo,beat,mfcc_0,mfcc_1,mfcc_2,mfcc_3,mfcc_4,mfcc_5,mfcc_6,mfcc_7,mfcc_8,mfcc_9,mfcc_10,mfcc_11,mfcc_12,mfcc_13,mfcc_14,mfcc_15,mfcc_16,mfcc_17,mfcc_18,mfcc_19,genre
59,The_good_doctor,15.046530612244897,0.49867046,1840.9012528258888,2105.267799509625,3528.0418378349073,0.06531788,0.045889778696029296,95.703125,0.21488523,-183.49803,135.19608,-43.952003,41.69569,-11.117167,15.381497,-2.4272645,10.355162,-4.194859,8.34076,-2.2808824,10.406159,1.7594485,8.2399435,-2.130838,4.440496,-3.2453978,3.27185,-1.6403639,6.0666437,drama
60,The_Good_Place,8.614603174603175,0.35797116,1359.7799286176905,1706.7529856227413,2403.4010793447173,0.17112243,0.027286575748654104,143.5546875,0.15100522,-236.72984,132.8708,-13.93741,27.973122,13.782594,29.226423,7.928957,6.3339458,-6.0338697,9.35412,-5.19031,-2.9295619,-6.056299,1.6340989,-6.985139,2.653154,1.8216876,3.9137013,-7.4621425,-7.8433523,comedy
61,TLOTR_The_Rings_of_Power,94.85351473922903,0.39226484,1068.8971403233584,1635.2953921483256,1985.5110143246695,0.023646101,0.023967850764135358,123.046875,0.05202547,-362.82208,160.98444,-9.887363,30.952194,5.1363344,3.2185352,4.864573,4.4082756,-2.0307035,1.7257401,-3.9091842,-1.1940904,-1.3205547,0.6022629,1.4531224,1.1002698,1.8157492,2.0691893,-0.35075092,-1.5550861,action
62,The_Mandalorian,7.592925170068027,0.66486347,459.8190441172042,814.1509455446123,889.5678524570611,0.047554236,0.009173723759541985,151.99908088235293,0.11800972,-394.036,216.15997,13.183787,8.421849,20.224152,19.584675,15.259133,3.1199303,7.7444434,2.9036255,1.6433855,9.541174,4.2468915,-2.326858,-4.8889413,1.0808184,4.8245053,-4.1500993,-11.884506,-5.27697,action
63,The_Peripheral,118.05024943310657,0.54871017,1573.6632718231192,2040.9154490333217,3124.1694128985764,0.07080045,0.03290561387550398,103.359375,0.10487008,-248.14499,134.1874,-13.626629,23.08996,2.4338264,13.044134,1.0150608,8.708184,0.5032579,6.5008144,0.93395776,9.424476,1.5489848,4.489484,0.77270263,3.0052443,-3.0590336,0.84573346,2.0229542,3.2078056,drama
64,Simpsons,112.45424036281179,0.40789577,2595.3525092546843,2710.315008991852,4966.1274805715775,0.079101235,0.07535867778659544,92.28515625,0.09050691,-162.65771,106.029305,-22.947979,21.880693,-13.531227,8.798117,-12.863723,4.250507,-11.808076,5.35651,-9.755883,4.0646434,-9.50242,1.880958,-7.051597,4.246182,-6.0408964,3.3042543,-3.4265797,2.1530275,comedy
65,The_Umbrella_Academy,55.309931972789116,0.3147215,1538.845282891198,2328.9279485859256,2734.2784504525184,0.03134026,0.03152811024396642,123.046875,0.12539934,-334.7059,122.25189,-6.7150803,26.252665,8.922398,9.0362015,-17.498941,7.3116207,-10.531694,-0.04234845,-20.551487,5.087227,-2.7320662,-2.443357,-11.6883,-3.5319376,-12.237984,1.1130136,-10.022031,-2.7475276,action
66,The_Vampire_Diaries,9.009342403628118,0.43161276,1253.269027371689,1908.5241283439939,2225.707347972973,0.045416746,0.027505881998069498,123.046875,0.10910331,-266.62985,157.67053,-8.633681,26.14884,-6.3572526,5.198285,-6.500693,4.711226,-7.2571173,-3.1697638,-15.144395,1.929086,-1.7192903,6.3763456,-4.724066,1.2975467,0.9153614,3.1246202,-0.60740334,7.0999207,drama
67,The_Walking_Dead,34.94603174603174,0.50103444,1409.257907833474,1721.875144927315,2625.0841154049735,0.08410627,0.03668709523414148,123.046875,0.09434825,-167.44534,157.13075,-42.697983,35.076313,-4.363743,10.269083,-9.66595,11.627324,-4.7075434,3.4525757,-4.3948483,4.8455677,-0.8873725,1.1152766,-3.350866,3.2369444,-0.2908075,4.596738,-0.91966313,-1.1311165,drama
68,The_Witcher,82.4656875,0.5202426,2327.5859804418665,3289.478794640276,4998.801652224522,0.25980708,0.03656760510298112,129.19921875,0.14032854,-41.149147,117.96087,-9.029657,40.03259,-10.769299,21.307943,-8.656361,17.909895,-8.365531,14.658796,-1.9832078,10.112569,-7.9890485,7.9490356,-2.0768511,7.300874,-2.7054908,7.3355627,0.25294334,6.897525,action
69,The_White_Lotus,90.26133333333334,0.30386975,2037.146731827766,2897.2055189269577,4456.395670861397,0.051869065,0.029174674871499467,112.34714673913044,0.13958094,-319.76968,93.94357,9.00491,14.564161,-14.017791,5.1479454,-12.364757,5.247531,-7.303166,4.7234626,-5.777614,7.6128883,1.001181,11.979266,-0.07583888,4.278576,-6.3453875,1.1034026,-5.7606425,0.19609377,comedy
70,This_Is_Us,8.092166666666667,0.5214862,860.67797562674,1443.933949209387,1683.9488636363637,0.0718,0.01301954668972332,151.99908088235293,0.13220555,-317.88226,170.22134,-13.4170065,41.862267,19.237606,9.719275,6.8387747,6.624397,0.32909063,5.6077113,-4.8113513,-4.0073237,-6.1120157,-5.0024667,-4.80893,0.7977894,0.43079802,-1.9513348,-4.2981586,-9.483158,comedy
71,Vikings,52.558375,0.5965761,1352.8248729481459,2399.4178461509064,2487.7279702719156,0.13833322,0.019250844980215096,117.45383522727273,0.1265101,-180.08153,149.70169,10.207592,26.411121,5.794881,6.760163,0.1243501,8.489267,-3.471508,11.366361,-7.4602165,9.787593,-5.8081684,6.0857105,-3.4487817,4.993372,-1.1766055,1.1868539,-1.750686,1.5232985,action
